Latitud,Longitud,Codigo de estacion,Nombre de estacion,Tipo de archivo,Achivo fisico y localizable,Variable,Medicion,Año con datos digitales,Formato de archivo,Contador de archivos digitales,Cantidad de datos por archivo,Datos obtenidos,Año con nombre ,Meses en tablas (csv o excel),Inventario fisico (localizacion),,
8.800543835,-82.48332595,108001,Finca Lerida,Tarjeta pluviometrica ,2019,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.800543835,-82.48332595,108001,Finca Lerida,Tarjeta pluviometrica ,2020,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107992,Caldera Pueblo Nuevo,Libreta pluviometrica ,2006,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107993,Caldera Pueblo Nuevo,Libreta pluviometrica ,2007,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107994,Caldera Pueblo Nuevo,Libreta pluviometrica ,2008,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107995,Caldera Pueblo Nuevo,Libreta pluviometrica ,2010,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107996,Caldera Pueblo Nuevo,Libreta pluviometrica ,2013,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107997,Caldera Pueblo Nuevo,Libreta pluviometrica ,2014,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107998,Caldera Pueblo Nuevo,Libreta pluviometrica ,2016,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,107999,Caldera Pueblo Nuevo,Libreta pluviometrica ,2017,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108000,Caldera Pueblo Nuevo,Libreta pluviometrica ,2018,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108001,Caldera Pueblo Nuevo,Libreta pluviometrica ,2019,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108002,Caldera Pueblo Nuevo,Libreta pluviometrica ,2020,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108003,Caldera Pueblo Nuevo,Libreta pluviometrica ,2021,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Libreta pluviometrica ,2022,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2006,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2007,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2008,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2010,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2013,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
8.654382931,-82.38179388,108004,Caldera Pueblo Nuevo,Tarjeta pluviometrica ,2014,Lluvia,Discreta,,,,,,,Pendiente,Caja 16,,
